source,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,2/13/2018 10:52,19802,86897,FALSE,9.63365E+17
Twitter for iPhone,2/13/2018 10:43,21457,96494,FALSE,9.63363E+17
Twitter for iPhone,2/12/2018 20:48,13647,62775,FALSE,9.63153E+17
Twitter for iPhone,2/12/2018 12:54,16333,82446,FALSE,9.63034E+17
Twitter for iPhone,2/12/2018 12:46,29430,132369,FALSE,9.63032E+17
Twitter for iPhone,2/11/2018 20:36,14563,74041,FALSE,9.62787E+17
Twitter for iPhone,2/11/2018 20:26,23532,93637,FALSE,9.62785E+17
Twitter for iPhone,2/11/2018 19:15,24618,120619,FALSE,9.62767E+17
Twitter for iPhone,2/11/2018 18:21,30615,120190,FALSE,9.62754E+17
Media Studio,2/10/2018 23:34,31579,115946,FALSE,9.6247E+17
Twitter for iPhone,2/10/2018 21:18,20340,82756,FALSE,9.62436E+17
Twitter for iPhone,2/10/2018 18:50,30294,115856,FALSE,9.62398E+17
Twitter for iPhone,2/10/2018 18:34,19831,73868,FALSE,9.62394E+17
Twitter for iPhone,2/10/2018 18:16,25655,99310,FALSE,9.6239E+17
Twitter for iPhone,2/10/2018 15:33,37151,134780,FALSE,9.62349E+17
Twitter for iPhone,2/10/2018 15:20,32715,103843,FALSE,9.62345E+17
Twitter for iPhone,2/10/2018 14:20,32287,116024,FALSE,9.6233E+17
Twitter for iPhone,2/10/2018 14:02,13708,63164,FALSE,9.62326E+17
Twitter for iPhone,2/9/2018 13:59,21421,88327,FALSE,9.61963E+17
Twitter for iPhone,2/9/2018 13:47,28111,109273,FALSE,9.6196E+17
Twitter for iPhone,2/9/2018 13:39,27134,128618,FALSE,9.61958E+17
Twitter for iPhone,2/9/2018 3:22,39997,126701,FALSE,9.61803E+17
Twitter for iPhone,2/8/2018 23:26,24082,96684,FALSE,9.61743E+17
Twitter for iPad,2/8/2018 20:10,30594,108803,FALSE,9.61694E+17
Twitter for iPhone,2/8/2018 18:44,13603,78884,FALSE,9.61672E+17
Twitter for iPad,2/8/2018 17:13,29225,105692,FALSE,9.61649E+17
Twitter for iPhone,2/8/2018 11:08,17915,105533,FALSE,9.61557E+17
Twitter for iPhone,2/7/2018 22:36,23276,108644,FALSE,9.61368E+17
Media Studio,2/7/2018 22:13,13306,69648,FALSE,9.61362E+17
Media Studio,2/7/2018 18:01,12756,64654,FALSE,9.61299E+17
Twitter for iPhone,2/7/2018 16:10,40098,137643,FALSE,9.61271E+17
Twitter for iPhone,2/7/2018 14:59,22057,111910,FALSE,9.61253E+17
Twitter for iPhone,2/7/2018 3:05,31770,166619,FALSE,9.61073E+17
Twitter for iPhone,2/7/2018 0:48,33087,180660,FALSE,9.61039E+17
Media Studio,2/6/2018 22:45,18477,75474,FALSE,9.61008E+17
Twitter for iPhone,2/6/2018 16:05,25773,92162,FALSE,9.60907E+17
Twitter for iPhone,2/6/2018 16:00,23712,89121,FALSE,9.60906E+17
Twitter for iPhone,2/6/2018 13:37,21048,104141,FALSE,9.6087E+17
Twitter for iPhone,2/6/2018 13:32,36325,142482,FALSE,9.60869E+17
Twitter for iPhone,2/5/2018 20:42,22952,105480,FALSE,9.60615E+17
Twitter for iPhone,2/5/2018 15:08,35986,133482,FALSE,9.60531E+17
Twitter for iPhone,2/5/2018 14:36,30151,123000,FALSE,9.60523E+17
Twitter for iPhone,2/5/2018 12:39,43308,142085,FALSE,9.60493E+17
Twitter for iPhone,2/5/2018 12:17,22941,107331,FALSE,9.60488E+17
Twitter for iPhone,2/5/2018 12:11,30857,120677,FALSE,9.60486E+17
Twitter for iPhone,2/5/2018 3:54,36504,212185,FALSE,9.60361E+17
Twitter for iPhone,2/4/2018 16:58,23234,141714,FALSE,9.60196E+17
Twitter for iPhone,2/4/2018 0:53,35993,130710,FALSE,9.59953E+17
Twitter for iPhone,2/4/2018 0:40,37089,130572,FALSE,9.5995E+17
Twitter for iPhone,2/4/2018 0:26,30282,135929,FALSE,9.59946E+17
Twitter for iPhone,2/3/2018 14:40,39373,141825,FALSE,9.59799E+17
Twitter for iPhone,2/3/2018 14:40,35028,156528,FALSE,9.59799E+17
Twitter for iPhone,2/3/2018 13:44,12746,0,TRUE,9.59785E+17
Twitter for iPhone,2/3/2018 13:39,12320,0,TRUE,9.59783E+17
Twitter for iPad,2/2/2018 22:26,14640,70815,FALSE,9.59554E+17
Twitter for iPad,2/2/2018 18:07,17668,77497,FALSE,9.59488E+17
Twitter for iPad,2/2/2018 18:05,27612,108001,FALSE,9.59488E+17
Twitter for iPhone,2/2/2018 11:49,52196,161790,FALSE,9.59393E+17
Twitter for iPhone,2/2/2018 11:33,40485,139320,FALSE,9.59389E+17
Twitter for iPhone,2/2/2018 3:32,28861,124186,FALSE,9.59268E+17
Twitter for iPhone,2/1/2018 12:02,37401,184859,FALSE,9.59034E+17
Twitter for iPhone,2/1/2018 11:51,29928,123421,FALSE,9.59032E+17
Twitter for iPhone,2/1/2018 11:43,28515,138084,FALSE,9.59029E+17
